benchmark,funcs,max_order,include_interactions,depth,hidden,activation,extractor,scheduler,rmse_neural,rmse_sindy,n_terms_extracted,n_true_terms,precision,recall,f1,tp_names,fp_names,fn_names,history_train,history_val,active_terms
Nguyen-1,"id,sin,cos",1,True,1,64,relu,lasso,onecycle,0.14075887392458847,0.08554319821162128,3,3,1.0,1.0,1.0,"['id(x0)', 'sin(x0)', 'cos(x0)']",[],[],"[0.9516239441358126, 0.9473582047682542, 0.9384371317349948, 0.9212399354347816, 0.9156785515638498, 0.9050217958597037, 0.8963823226781992, 0.8819315754450284, 0.868948234961583, 0.8680918354254502, 0.8591015293047979, 0.8419820895561805, 0.8399551098163311, 0.8119869874073908, 0.7982242749287531, 0.7822453471330496, 0.7666418781647315, 0.7502351449086115, 0.729793878702017, 0.7181522020926843, 0.694811238692357, 0.6806155030543988, 0.6587029214088733, 0.6218505616371448, 0.6107900257293994, 0.5725791523089776, 0.5627218324404496, 0.5252960461836594, 0.499217879313689, 0.4764160353403825, 0.44398967119363636, 0.41338916237537676, 0.3824191964589633, 0.3466847791121556, 0.31242401668658626, 0.2859444251427284, 0.25482667409456694, 0.22953687952114984, 0.2073126842196171, 0.18187612639023706, 0.15745302347036508, 0.1424195823761133, 0.12708122111283815, 0.11731558235792014, 0.1027313178548446, 0.09773167681235534, 0.08660832505959731, 0.08105586899014619, 0.07672576462993255, 0.07002659686482869, 0.06288153706834866, 0.05505281085005173, 0.05580251463330709, 0.049707153955331214, 0.045481521636247635, 0.04412998660252644, 0.040801755081002526, 0.04102279503758137, 0.03769298714513962, 0.03601573221385479]","[0.8214535117149353, 0.8123765885829926, 0.8032707497477531, 0.7940741181373596, 0.7846896946430206, 0.7751027569174767, 0.7652107030153275, 0.7549008727073669, 0.7442367821931839, 0.7329853624105453, 0.7211032509803772, 0.7086940631270409, 0.6956828236579895, 0.6819779798388481, 0.6675895005464554, 0.652458906173706, 0.6364329755306244, 0.6195608973503113, 0.6019373908638954, 0.5835759565234184, 0.5643059015274048, 0.5441037975251675, 0.5232712291181087, 0.5017692185938358, 0.47940635681152344, 0.45617347955703735, 0.43199222534894943, 0.4071762412786484, 0.3817795589566231, 0.3558466248214245, 0.3291657976806164, 0.3021551463752985, 0.27494777739048004, 0.2475812118500471, 0.2206510454416275, 0.19469309598207474, 0.17035195417702198, 0.14819675777107477, 0.1288850773125887, 0.11252542678266764, 0.09903988428413868, 0.08792358450591564, 0.07894446142017841, 0.07150765135884285, 0.06483862362802029, 0.05912979692220688, 0.0540380273014307, 0.04940090235322714, 0.04482782632112503, 0.041091824881732464, 0.03768836334347725, 0.034770602360367775, 0.03172803297638893, 0.029516103211790323, 0.027206323575228453, 0.02535594580695033, 0.023353193886578083, 0.021828262601047754, 0.02068009413778782, 0.019284081179648638]","['id(x0)', 'sin(x0)', 'cos(x0)']"
Nguyen-1,"id,sin,cos",1,True,1,64,relu,lasso,steplr,0.03889670468277322,0.08554319821162128,3,3,1.0,1.0,1.0,"['id(x0)', 'sin(x0)', 'cos(x0)']",[],[],"[0.8568682303795447, 0.6701087080515348, 0.5111679022128766, 0.364581429041349, 0.2509616899948854, 0.1694061108506643, 0.12582710499946886, 0.10070231671516712, 0.0811568137544852, 0.07036339663542233, 0.05938127379004772, 0.049556763985982306, 0.04461647340884575, 0.039733378073343865, 0.03507353623326008, 0.030232531806597344, 0.02931778233211774, 0.026982073743756, 0.02562985934603673, 0.025403929587740164, 0.021279896752765544, 0.01993387772773321, 0.02023955936042162, 0.017734794949109737, 0.018081209264122523, 0.015079682477964805, 0.015326124544327076, 0.015641118614719465, 0.014777807232279044, 0.016145346542963616, 0.014043807481917052, 0.013308241676825743, 0.014374355570628094, 0.013365333470014425, 0.011818912525016528, 0.012661865267616052, 0.01271354048871077, 0.0123728710728196, 0.012757555223428287, 0.014376700139389588, 0.01133357547223568, 0.01070075980029427, 0.010645839314048108, 0.010665757044290122, 0.010091974149243189, 0.010155028197914362, 0.009631149829007112, 0.009927267781816997, 0.011137333197089342, 0.010133747154703507, 0.009138223249465227, 0.009304637411752572, 0.009128982702699991, 0.009637451694848446, 0.009429075182057343, 0.009156814991281582, 0.009141219170907369, 0.00991912569420842, 0.008894007187336683, 0.0089977105649618]","[0.6236777007579803, 0.4596029743552208, 0.32585362531244755, 0.21771597862243652, 0.1388844382017851, 0.09366738237440586, 0.07259111385792494, 0.059179944917559624, 0.04907441884279251, 0.03918186295777559, 0.03301838366314769, 0.028141476679593325, 0.023900755681097507, 0.02090930799022317, 0.018449720926582813, 0.01672317460179329, 0.015259578824043274, 0.013360258657485247, 0.01218746486119926, 0.011180805275216699, 0.009509031195193529, 0.008919628337025642, 0.007839353987947106, 0.007106024771928787, 0.00662992475554347, 0.005921404110267758, 0.005592634552158415, 0.0053121126256883144, 0.004841657297220081, 0.004505949968006462, 0.00410097383428365, 0.003905377525370568, 0.003629428567364812, 0.0035237609990872443, 0.0031448756926693022, 0.0032014211174100637, 0.0028002641047351062, 0.002836776664480567, 0.0025556785403750837, 0.0025016830768436193, 0.002343516069231555, 0.002343578962609172, 0.0021430215565487742, 0.002025955240242183, 0.0020146903116256, 0.0019597783975768834, 0.001878309849416837, 0.0017082221456803381, 0.0017307601228822023, 0.0016728395712561905, 0.0016061950591392815, 0.0015998254821170121, 0.0015415393718285486, 0.001473805750720203, 0.001445771602448076, 0.0014181266742525622, 0.0013986161357024685, 0.0013981066877022386, 0.0014509294123854488, 0.0013719849230255932]","['id(x0)', 'sin(x0)', 'cos(x0)']"
Nguyen-1,"id,sin,cos",1,True,1,64,relu,lasso,none,0.03665135269390466,0.08554319821162128,3,3,1.0,1.0,1.0,"['id(x0)', 'sin(x0)', 'cos(x0)']",[],[],"[0.8568682303795447, 0.6701087080515348, 0.5111679022128766, 0.364581429041349, 0.2509616899948854, 0.1694061108506643, 0.12582710499946886, 0.10070231671516712, 0.0811568137544852, 0.07036339663542233, 0.05938127379004772, 0.049556763985982306, 0.04461647340884575, 0.039733378073343865, 0.03507353623326008, 0.030232531806597344, 0.02931778233211774, 0.026982073743756, 0.02562985934603673, 0.025403929587740164, 0.021279896752765544, 0.01993387772773321, 0.02023955936042162, 0.017734794949109737, 0.018081209264122523, 0.015079682477964805, 0.015326124544327076, 0.015641118614719465, 0.014777807232279044, 0.016145346542963616, 0.014043807481917052, 0.013308241676825743, 0.014374355570628094, 0.013365333470014425, 0.011818912525016528, 0.012661865267616052, 0.01271354048871077, 0.0123728710728196, 0.012757555223428287, 0.014376700139389588, 0.01133357547223568, 0.01070075980029427, 0.010645839314048108, 0.010665757044290122, 0.010091974149243189, 0.010155028197914362, 0.009631149829007112, 0.009927267781816997, 0.011137333197089342, 0.010133747154703507, 0.009143640967802359, 0.009254277325593509, 0.009047249797731638, 0.009491348889871286, 0.009276811355868211, 0.008860329130234627, 0.008847500054309001, 0.009590277448296547, 0.00847036069115767, 0.00849933961692911]","[0.6236777007579803, 0.4596029743552208, 0.32585362531244755, 0.21771597862243652, 0.1388844382017851, 0.09366738237440586, 0.07259111385792494, 0.059179944917559624, 0.04907441884279251, 0.03918186295777559, 0.03301838366314769, 0.028141476679593325, 0.023900755681097507, 0.02090930799022317, 0.018449720926582813, 0.01672317460179329, 0.015259578824043274, 0.013360258657485247, 0.01218746486119926, 0.011180805275216699, 0.009509031195193529, 0.008919628337025642, 0.007839353987947106, 0.007106024771928787, 0.00662992475554347, 0.005921404110267758, 0.005592634552158415, 0.0053121126256883144, 0.004841657297220081, 0.004505949968006462, 0.00410097383428365, 0.003905377525370568, 0.003629428567364812, 0.0035237609990872443, 0.0031448756926693022, 0.0032014211174100637, 0.0028002641047351062, 0.002836776664480567, 0.0025556785403750837, 0.0025016830768436193, 0.002343516069231555, 0.002343578962609172, 0.0021430215565487742, 0.002025955240242183, 0.0020146903116256, 0.0019597783975768834, 0.001878309849416837, 0.0017082221456803381, 0.0017307601228822023, 0.0016728395712561905, 0.001612462685443461, 0.0015248686249833554, 0.0014599934220314026, 0.0013482783106155694, 0.0013790332013741136, 0.0012823696888517588, 0.0013033180148340762, 0.0012073253164999187, 0.0012722591345664114, 0.0012458305136533454]","['id(x0)', 'sin(x0)', 'cos(x0)']"
Nguyen-1,"id,sin,cos",1,True,1,64,relu,elastic,onecycle,0.14075887392458847,0.08554319821162128,3,3,1.0,1.0,1.0,"['id(x0)', 'sin(x0)', 'cos(x0)']",[],[],"[0.9516239441358126, 0.9473582047682542, 0.9384371317349948, 0.9212399354347816, 0.9156785515638498, 0.9050217958597037, 0.8963823226781992, 0.8819315754450284, 0.868948234961583, 0.8680918354254502, 0.8591015293047979, 0.8419820895561805, 0.8399551098163311, 0.8119869874073908, 0.7982242749287531, 0.7822453471330496, 0.7666418781647315, 0.7502351449086115, 0.729793878702017, 0.7181522020926843, 0.694811238692357, 0.6806155030543988, 0.6587029214088733, 0.6218505616371448, 0.6107900257293994, 0.5725791523089776, 0.5627218324404496, 0.5252960461836594, 0.499217879313689, 0.4764160353403825, 0.44398967119363636, 0.41338916237537676, 0.3824191964589633, 0.3466847791121556, 0.31242401668658626, 0.2859444251427284, 0.25482667409456694, 0.22953687952114984, 0.2073126842196171, 0.18187612639023706, 0.15745302347036508, 0.1424195823761133, 0.12708122111283815, 0.11731558235792014, 0.1027313178548446, 0.09773167681235534, 0.08660832505959731, 0.08105586899014619, 0.07672576462993255, 0.07002659686482869, 0.06288153706834866, 0.05505281085005173, 0.05580251463330709, 0.049707153955331214, 0.045481521636247635, 0.04412998660252644, 0.040801755081002526, 0.04102279503758137, 0.03769298714513962, 0.03601573221385479]","[0.8214535117149353, 0.8123765885829926, 0.8032707497477531, 0.7940741181373596, 0.7846896946430206, 0.7751027569174767, 0.7652107030153275, 0.7549008727073669, 0.7442367821931839, 0.7329853624105453, 0.7211032509803772, 0.7086940631270409, 0.6956828236579895, 0.6819779798388481, 0.6675895005464554, 0.652458906173706, 0.6364329755306244, 0.6195608973503113, 0.6019373908638954, 0.5835759565234184, 0.5643059015274048, 0.5441037975251675, 0.5232712291181087, 0.5017692185938358, 0.47940635681152344, 0.45617347955703735, 0.43199222534894943, 0.4071762412786484, 0.3817795589566231, 0.3558466248214245, 0.3291657976806164, 0.3021551463752985, 0.27494777739048004, 0.2475812118500471, 0.2206510454416275, 0.19469309598207474, 0.17035195417702198, 0.14819675777107477, 0.1288850773125887, 0.11252542678266764, 0.09903988428413868, 0.08792358450591564, 0.07894446142017841, 0.07150765135884285, 0.06483862362802029, 0.05912979692220688, 0.0540380273014307, 0.04940090235322714, 0.04482782632112503, 0.041091824881732464, 0.03768836334347725, 0.034770602360367775, 0.03172803297638893, 0.029516103211790323, 0.027206323575228453, 0.02535594580695033, 0.023353193886578083, 0.021828262601047754, 0.02068009413778782, 0.019284081179648638]","['id(x0)', 'sin(x0)', 'cos(x0)']"
Nguyen-1,"id,sin,cos",1,True,1,64,relu,elastic,steplr,0.03889670468277322,0.08554319821162128,3,3,1.0,1.0,1.0,"['id(x0)', 'sin(x0)', 'cos(x0)']",[],[],"[0.8568682303795447, 0.6701087080515348, 0.5111679022128766, 0.364581429041349, 0.2509616899948854, 0.1694061108506643, 0.12582710499946886, 0.10070231671516712, 0.0811568137544852, 0.07036339663542233, 0.05938127379004772, 0.049556763985982306, 0.04461647340884575, 0.039733378073343865, 0.03507353623326008, 0.030232531806597344, 0.02931778233211774, 0.026982073743756, 0.02562985934603673, 0.025403929587740164, 0.021279896752765544, 0.01993387772773321, 0.02023955936042162, 0.017734794949109737, 0.018081209264122523, 0.015079682477964805, 0.015326124544327076, 0.015641118614719465, 0.014777807232279044, 0.016145346542963616, 0.014043807481917052, 0.013308241676825743, 0.014374355570628094, 0.013365333470014425, 0.011818912525016528, 0.012661865267616052, 0.01271354048871077, 0.0123728710728196, 0.012757555223428287, 0.014376700139389588, 0.01133357547223568, 0.01070075980029427, 0.010645839314048108, 0.010665757044290122, 0.010091974149243189, 0.010155028197914362, 0.009631149829007112, 0.009927267781816997, 0.011137333197089342, 0.010133747154703507, 0.009138223249465227, 0.009304637411752572, 0.009128982702699991, 0.009637451694848446, 0.009429075182057343, 0.009156814991281582, 0.009141219170907369, 0.00991912569420842, 0.008894007187336683, 0.0089977105649618]","[0.6236777007579803, 0.4596029743552208, 0.32585362531244755, 0.21771597862243652, 0.1388844382017851, 0.09366738237440586, 0.07259111385792494, 0.059179944917559624, 0.04907441884279251, 0.03918186295777559, 0.03301838366314769, 0.028141476679593325, 0.023900755681097507, 0.02090930799022317, 0.018449720926582813, 0.01672317460179329, 0.015259578824043274, 0.013360258657485247, 0.01218746486119926, 0.011180805275216699, 0.009509031195193529, 0.008919628337025642, 0.007839353987947106, 0.007106024771928787, 0.00662992475554347, 0.005921404110267758, 0.005592634552158415, 0.0053121126256883144, 0.004841657297220081, 0.004505949968006462, 0.00410097383428365, 0.003905377525370568, 0.003629428567364812, 0.0035237609990872443, 0.0031448756926693022, 0.0032014211174100637, 0.0028002641047351062, 0.002836776664480567, 0.0025556785403750837, 0.0025016830768436193, 0.002343516069231555, 0.002343578962609172, 0.0021430215565487742, 0.002025955240242183, 0.0020146903116256, 0.0019597783975768834, 0.001878309849416837, 0.0017082221456803381, 0.0017307601228822023, 0.0016728395712561905, 0.0016061950591392815, 0.0015998254821170121, 0.0015415393718285486, 0.001473805750720203, 0.001445771602448076, 0.0014181266742525622, 0.0013986161357024685, 0.0013981066877022386, 0.0014509294123854488, 0.0013719849230255932]","['id(x0)', 'sin(x0)', 'cos(x0)']"
Nguyen-1,"id,sin,cos",1,True,1,64,relu,elastic,none,0.03665135269390466,0.08554319821162128,3,3,1.0,1.0,1.0,"['id(x0)', 'sin(x0)', 'cos(x0)']",[],[],"[0.8568682303795447, 0.6701087080515348, 0.5111679022128766, 0.364581429041349, 0.2509616899948854, 0.1694061108506643, 0.12582710499946886, 0.10070231671516712, 0.0811568137544852, 0.07036339663542233, 0.05938127379004772, 0.049556763985982306, 0.04461647340884575, 0.039733378073343865, 0.03507353623326008, 0.030232531806597344, 0.02931778233211774, 0.026982073743756, 0.02562985934603673, 0.025403929587740164, 0.021279896752765544, 0.01993387772773321, 0.02023955936042162, 0.017734794949109737, 0.018081209264122523, 0.015079682477964805, 0.015326124544327076, 0.015641118614719465, 0.014777807232279044, 0.016145346542963616, 0.014043807481917052, 0.013308241676825743, 0.014374355570628094, 0.013365333470014425, 0.011818912525016528, 0.012661865267616052, 0.01271354048871077, 0.0123728710728196, 0.012757555223428287, 0.014376700139389588, 0.01133357547223568, 0.01070075980029427, 0.010645839314048108, 0.010665757044290122, 0.010091974149243189, 0.010155028197914362, 0.009631149829007112, 0.009927267781816997, 0.011137333197089342, 0.010133747154703507, 0.009143640967802359, 0.009254277325593509, 0.009047249797731638, 0.009491348889871286, 0.009276811355868211, 0.008860329130234627, 0.008847500054309001, 0.009590277448296547, 0.00847036069115767, 0.00849933961692911]","[0.6236777007579803, 0.4596029743552208, 0.32585362531244755, 0.21771597862243652, 0.1388844382017851, 0.09366738237440586, 0.07259111385792494, 0.059179944917559624, 0.04907441884279251, 0.03918186295777559, 0.03301838366314769, 0.028141476679593325, 0.023900755681097507, 0.02090930799022317, 0.018449720926582813, 0.01672317460179329, 0.015259578824043274, 0.013360258657485247, 0.01218746486119926, 0.011180805275216699, 0.009509031195193529, 0.008919628337025642, 0.007839353987947106, 0.007106024771928787, 0.00662992475554347, 0.005921404110267758, 0.005592634552158415, 0.0053121126256883144, 0.004841657297220081, 0.004505949968006462, 0.00410097383428365, 0.003905377525370568, 0.003629428567364812, 0.0035237609990872443, 0.0031448756926693022, 0.0032014211174100637, 0.0028002641047351062, 0.002836776664480567, 0.0025556785403750837, 0.0025016830768436193, 0.002343516069231555, 0.002343578962609172, 0.0021430215565487742, 0.002025955240242183, 0.0020146903116256, 0.0019597783975768834, 0.001878309849416837, 0.0017082221456803381, 0.0017307601228822023, 0.0016728395712561905, 0.001612462685443461, 0.0015248686249833554, 0.0014599934220314026, 0.0013482783106155694, 0.0013790332013741136, 0.0012823696888517588, 0.0013033180148340762, 0.0012073253164999187, 0.0012722591345664114, 0.0012458305136533454]","['id(x0)', 'sin(x0)', 'cos(x0)']"
Nguyen-1,"id,sin,cos",1,True,1,64,gelu,lasso,onecycle,0.18985183927565374,0.08554319821162128,3,3,1.0,1.0,1.0,"['id(x0)', 'sin(x0)', 'cos(x0)']",[],[],"[0.9454922951184787, 0.9425151898310735, 0.9346938683436468, 0.9188368733112628, 0.91380552145151, 0.9028937037174518, 0.8989243048887986, 0.8817560351811923, 0.8718294959801894, 0.8704291444558364, 0.8655926264249362, 0.8478824908916767, 0.8480686270273649, 0.8186976267741277, 0.8054680961828965, 0.7963041663169861, 0.7811578099544232, 0.7667950162520776, 0.7473067136911246, 0.7339054208535415, 0.7169657349586487, 0.7043648132911096, 0.6849011114010444, 0.647184261908898, 0.6386957237353692, 0.6005739500889411, 0.5952989917535049, 0.55843896819995, 0.5325199915812566, 0.5130790838828454, 0.4827600671694829, 0.45346890275294965, 0.42403944868307847, 0.38974579251729524, 0.35756975412368774, 0.3304956028094658, 0.3009224912294975, 0.27494461032060474, 0.25001484843400806, 0.2202685343531462, 0.19299773069528434, 0.17631942606889284, 0.15592337858218414, 0.14447250159887168, 0.12889577734928864, 0.12360574190433209, 0.11143743418730222, 0.10662220934262642, 0.10213658958673477, 0.09665097009677154, 0.08880712263859235, 0.08079691747060189, 0.08172689492885883, 0.07543813322599117, 0.07098518598538178, 0.06730571905007729, 0.06297723662394744, 0.0616763812991289, 0.057784370218332, 0.05426853895187378]","[0.7810404300689697, 0.7736504822969437, 0.7662395536899567, 0.7587660700082779, 0.7511506304144859, 0.743355393409729, 0.7352509722113609, 0.7267698347568512, 0.7180094718933105, 0.7087038159370422, 0.6988533586263657, 0.6885499507188797, 0.6777345240116119, 0.6662900298833847, 0.654152438044548, 0.6414049193263054, 0.6278679370880127, 0.6135951727628708, 0.5985936708748341, 0.5828891508281231, 0.5662542507052422, 0.5487328805029392, 0.5305707603693008, 0.5116608031094074, 0.4918217957019806, 0.47116680815815926, 0.4494527131319046, 0.42711155861616135, 0.4041280224919319, 0.3803806006908417, 0.3557346537709236, 0.3306334391236305, 0.30501142144203186, 0.2790743336081505, 0.25317521393299103, 0.22763077914714813, 0.20287281647324562, 0.17936607729643583, 0.1580413170158863, 0.13895797729492188, 0.12264341488480568, 0.10908130370080471, 0.09828449506312609, 0.08986219204962254, 0.08299698680639267, 0.07776967063546181, 0.07343688141554594, 0.06964960880577564, 0.06595064140856266, 0.0629455465823412, 0.05988822877407074, 0.05701611656695604, 0.05362182389944792, 0.05108829867094755, 0.048175690695643425, 0.04553513415157795, 0.04261544160544872, 0.04019417241215706, 0.03819816838949919, 0.0358229149132967]","['id(x0)', 'sin(x0)', 'cos(x0)']"
Nguyen-1,"id,sin,cos",1,True,1,64,gelu,lasso,steplr,0.05086733890017121,0.08554319821162128,3,3,1.0,1.0,1.0,"['id(x0)', 'sin(x0)', 'cos(x0)']",[],[],"[0.8614678153624902, 0.6876707948171176, 0.5350641378989587, 0.39132075814100414, 0.27742901329810804, 0.1908831401513173, 0.143599146260665, 0.11622154941925636, 0.1011118831542822, 0.09108561105453052, 0.08198948376453839, 0.07156929860894497, 0.06446722751626602, 0.058400203115664996, 0.051171815739228174, 0.044946287687008195, 0.04211505874991417, 0.03837582010489244, 0.035956874346503846, 0.03513139314376391, 0.03008127871614236, 0.027533154504803512, 0.027948672525011577, 0.025198935746000364, 0.02459755941079213, 0.021761328268509645, 0.022158366556351002, 0.022096089015786465, 0.020433476338019736, 0.02137005844941506, 0.018647866753431466, 0.018149645999073982, 0.017681935945382483, 0.016732087215551965, 0.01567736783852944, 0.014761755099663368, 0.015451631365487209, 0.015004930444634877, 0.015387692488729954, 0.01578118007343549, 0.012872124234071145, 0.012883960412671933, 0.011620441953150125, 0.012289481237530708, 0.010960395734470624, 0.010962421790911602, 0.009730686648533894, 0.010194647054259594, 0.010840514603142556, 0.00883858074219181, 0.008916369675157161, 0.00859005545051052, 0.009042345202313019, 0.009641218715562271, 0.008110102910835009, 0.009143658949492069, 0.007876633953016538, 0.00852046924858139, 0.007828926273549978, 0.008124210656835483]","[0.6168573200702667, 0.47018206119537354, 0.34451155364513397, 0.23751838505268097, 0.15575419180095196, 0.10550723690539598, 0.08343333750963211, 0.07402313500642776, 0.06751057226210833, 0.0585694732144475, 0.05238658748567104, 0.046121975407004356, 0.04028689954429865, 0.03597778081893921, 0.03214672161266208, 0.029518041294068098, 0.026912213768810034, 0.024650550447404385, 0.02320975111797452, 0.021944560576230288, 0.020150153897702694, 0.01990368263795972, 0.018689315766096115, 0.018087866716086864, 0.017504637828096747, 0.016631376929581165, 0.016100862296298146, 0.015487035736441612, 0.0148363437037915, 0.014193755574524403, 0.01332672918215394, 0.012730631977319717, 0.012073391815647483, 0.011657369555905461, 0.010782945668324828, 0.010468611726537347, 0.009641071315854788, 0.009153461083769798, 0.008784522418864071, 0.00817506539169699, 0.007535149343311787, 0.00745394011028111, 0.006585272261872888, 0.006119917030446231, 0.005760853877291083, 0.005321345408447087, 0.004997862270101905, 0.0044603231362998486, 0.004193170345388353, 0.0038677637930959463, 0.003719580650795251, 0.003654264786746353, 0.0034780537243932486, 0.003347772522829473, 0.00318093755049631, 0.0030478013795800507, 0.0029083731351420283, 0.002803002716973424, 0.0028327832696959376, 0.002666366519406438]","['id(x0)', 'sin(x0)', 'cos(x0)']"
Nguyen-1,"id,sin,cos",1,True,1,64,gelu,lasso,none,0.04193441160213702,0.08554319821162128,3,3,1.0,1.0,1.0,"['id(x0)', 'sin(x0)', 'cos(x0)']",[],[],"[0.8614678153624902, 0.6876707948171176, 0.5350641378989587, 0.39132075814100414, 0.27742901329810804, 0.1908831401513173, 0.143599146260665, 0.11622154941925636, 0.1011118831542822, 0.09108561105453052, 0.08198948376453839, 0.07156929860894497, 0.06446722751626602, 0.058400203115664996, 0.051171815739228174, 0.044946287687008195, 0.04211505874991417, 0.03837582010489244, 0.035956874346503846, 0.03513139314376391, 0.03008127871614236, 0.027533154504803512, 0.027948672525011577, 0.025198935746000364, 0.02459755941079213, 0.021761328268509645, 0.022158366556351002, 0.022096089015786465, 0.020433476338019736, 0.02137005844941506, 0.018647866753431466, 0.018149645999073982, 0.017681935945382483, 0.016732087215551965, 0.01567736783852944, 0.014761755099663368, 0.015451631365487209, 0.015004930444634877, 0.015387692488729954, 0.01578118007343549, 0.012872124234071145, 0.012883960412671933, 0.011620441953150125, 0.012289481237530708, 0.010960395734470624, 0.010962421790911602, 0.009730686648533894, 0.010194647054259594, 0.010840514603142556, 0.00883858074219181, 0.008894465111482602, 0.008449521703788867, 0.008817827723060664, 0.009295089743458308, 0.00772315775975585, 0.008589138312695118, 0.0073145684571220325, 0.007823363161430908, 0.007113631743078048, 0.007331913408751671]","[0.6168573200702667, 0.47018206119537354, 0.34451155364513397, 0.23751838505268097, 0.15575419180095196, 0.10550723690539598, 0.08343333750963211, 0.07402313500642776, 0.06751057226210833, 0.0585694732144475, 0.05238658748567104, 0.046121975407004356, 0.04028689954429865, 0.03597778081893921, 0.03214672161266208, 0.029518041294068098, 0.026912213768810034, 0.024650550447404385, 0.02320975111797452, 0.021944560576230288, 0.020150153897702694, 0.01990368263795972, 0.018689315766096115, 0.018087866716086864, 0.017504637828096747, 0.016631376929581165, 0.016100862296298146, 0.015487035736441612, 0.0148363437037915, 0.014193755574524403, 0.01332672918215394, 0.012730631977319717, 0.012073391815647483, 0.011657369555905461, 0.010782945668324828, 0.010468611726537347, 0.009641071315854788, 0.009153461083769798, 0.008784522418864071, 0.00817506539169699, 0.007535149343311787, 0.00745394011028111, 0.006585272261872888, 0.006119917030446231, 0.005760853877291083, 0.005321345408447087, 0.004997862270101905, 0.0044603231362998486, 0.004193170345388353, 0.0038677637930959463, 0.003658954577986151, 0.0033223038190044463, 0.003119547211099416, 0.002820251975208521, 0.0026201484724879265, 0.0024302593083120883, 0.002264705311972648, 0.002094065654091537, 0.002078265999443829, 0.001821905025281012]","['id(x0)', 'sin(x0)', 'cos(x0)']"
Nguyen-1,"id,sin,cos",1,True,1,64,gelu,elastic,onecycle,0.18985183927565374,0.08554319821162128,3,3,1.0,1.0,1.0,"['id(x0)', 'sin(x0)', 'cos(x0)']",[],[],"[0.9454922951184787, 0.9425151898310735, 0.9346938683436468, 0.9188368733112628, 0.91380552145151, 0.9028937037174518, 0.8989243048887986, 0.8817560351811923, 0.8718294959801894, 0.8704291444558364, 0.8655926264249362, 0.8478824908916767, 0.8480686270273649, 0.8186976267741277, 0.8054680961828965, 0.7963041663169861, 0.7811578099544232, 0.7667950162520776, 0.7473067136911246, 0.7339054208535415, 0.7169657349586487, 0.7043648132911096, 0.6849011114010444, 0.647184261908898, 0.6386957237353692, 0.6005739500889411, 0.5952989917535049, 0.55843896819995, 0.5325199915812566, 0.5130790838828454, 0.4827600671694829, 0.45346890275294965, 0.42403944868307847, 0.38974579251729524, 0.35756975412368774, 0.3304956028094658, 0.3009224912294975, 0.27494461032060474, 0.25001484843400806, 0.2202685343531462, 0.19299773069528434, 0.17631942606889284, 0.15592337858218414, 0.14447250159887168, 0.12889577734928864, 0.12360574190433209, 0.11143743418730222, 0.10662220934262642, 0.10213658958673477, 0.09665097009677154, 0.08880712263859235, 0.08079691747060189, 0.08172689492885883, 0.07543813322599117, 0.07098518598538178, 0.06730571905007729, 0.06297723662394744, 0.0616763812991289, 0.057784370218332, 0.05426853895187378]","[0.7810404300689697, 0.7736504822969437, 0.7662395536899567, 0.7587660700082779, 0.7511506304144859, 0.743355393409729, 0.7352509722113609, 0.7267698347568512, 0.7180094718933105, 0.7087038159370422, 0.6988533586263657, 0.6885499507188797, 0.6777345240116119, 0.6662900298833847, 0.654152438044548, 0.6414049193263054, 0.6278679370880127, 0.6135951727628708, 0.5985936708748341, 0.5828891508281231, 0.5662542507052422, 0.5487328805029392, 0.5305707603693008, 0.5116608031094074, 0.4918217957019806, 0.47116680815815926, 0.4494527131319046, 0.42711155861616135, 0.4041280224919319, 0.3803806006908417, 0.3557346537709236, 0.3306334391236305, 0.30501142144203186, 0.2790743336081505, 0.25317521393299103, 0.22763077914714813, 0.20287281647324562, 0.17936607729643583, 0.1580413170158863, 0.13895797729492188, 0.12264341488480568, 0.10908130370080471, 0.09828449506312609, 0.08986219204962254, 0.08299698680639267, 0.07776967063546181, 0.07343688141554594, 0.06964960880577564, 0.06595064140856266, 0.0629455465823412, 0.05988822877407074, 0.05701611656695604, 0.05362182389944792, 0.05108829867094755, 0.048175690695643425, 0.04553513415157795, 0.04261544160544872, 0.04019417241215706, 0.03819816838949919, 0.0358229149132967]","['id(x0)', 'sin(x0)', 'cos(x0)']"
