Complexity,Loss,Equation
1,0.21197434,"x0"
2,0.21197431,"log(x3)"
3,0.07977177,"x5 * 1.9108683"
4,0.07859305,"sin(x5) * 2.0397751"
5,0.0034624909,"(x5 + 1.9374781) * x5"
6,1.5130936e-15,"sin(x4 + x0) + x1"
7,1.4401742e-15,"x1 + sin(x0 * exp(x6))"
9,1.4389599e-15,"x1 + sin(exp(x6 + -1.340668e-8) * x0)"
10,1.3850554e-15,"sin(x0 + (x4 + 2.7072907e-8)) + (x1 + -2.4971428e-8)"
12,1.2727104e-15,"sin(x0 + ((x0 * x0) + 3.199472e-8)) + (x1 + -2.2758552e-8)"
17,1.2235651e-15,"((cos(x7 / 0.3210592) * -3.0108048e-8) + x1) + sin(x0 + ((x0 * x0) + 2.7193162e-8))"
19,1.215619e-15,"(((-0.15680277 + cos(x3 * x0)) * -3.014299e-8) + x1) + sin(x0 + ((x0 * x0) + 2.7193162e-8))"
20,1.2124639e-15,"(x1 + (cos((x3 * x7) + sin(x6)) * -3.014299e-8)) + sin(x0 + ((x0 * x0) + 2.7193162e-8))"
22,1.2080411e-15,"sin(x0 + ((x0 * x0) + 2.7193162e-8)) + (((((x1 + x4) * (x4 * -1.0051073)) + 0.74769646) * -3.0165733e-8) + x1)"
23,1.2068861e-15,"(x1 + (cos((x3 * x7) + sin(sin(-0.1305587 + x6))) * -3.014299e-8)) + sin(x0 + ((x0 * x0) + 2.7193162e-8))"
