Complexity,Loss,Equation
1,0.2116882,"x0"
3,0.07981421,"x5 * 1.909938"
4,0.07864535,"sin(x5) * 2.0387132"
5,0.0034966606,"(x5 + 1.9365734) * x5"
6,2.6809863e-5,"x1 + sin(x4 + x0)"
7,2.6809857e-5,"sin(x4 + x0) + sin(x0)"
8,2.6618702e-5,"sin(x0 + x4) + (x1 / 1.0008411)"
9,2.6605896e-5,"sin(x0 + x4) + sin(x0 * 0.9989321)"
11,2.6597376e-5,"sin((x4 + x0) - 0.00011384876) + sin(x0 * 0.99884325)"
12,2.654376e-5,"sin(x0 * exp(x6 - (cos(x3) * 0.0031957063))) + x1"
13,2.6383152e-5,"sin(exp(x6 - (cos(exp(x7)) * 0.0041173818)) * x0) + x1"
14,2.6249525e-5,"x1 + sin(x0 * exp(x6 - (cos(x7 / 0.004070306) * -0.0036012062)))"
15,2.6249516e-5,"x1 + sin(x0 * exp(x6 - (cos(x7 / sin(0.004070306)) * -0.0036012062)))"
16,2.6087864e-5,"x1 + sin(x0 * exp(x6 + (cos((x3 / -0.0036217242) - x6) * -0.004049063)))"
17,2.6087859e-5,"x1 + sin(exp(x6 + (cos((x3 / -0.0036217242) - x6) * -0.004049063)) * log(x3))"
18,2.5969115e-5,"x1 + sin(exp(x6 - (cos((x3 / -0.0036221044) - (x6 / 0.5752939)) * 0.0048728576)) * x0)"
19,2.5899164e-5,"x1 + sin(x0 * exp(x6 - (cos((x3 / -0.0036221044) + (sin(x6) / -0.52951324)) * 0.0048728576)))"
20,2.568738e-5,"x1 + sin(x0 * exp(x6 - (cos(cos(x6 / -0.016035344) / (x4 - cos(x6))) * 0.0047181253)))"
22,2.5660489e-5,"sin(x0 * exp(x6 - (((0.63664645 - x4) - cos(((x3 - 0.7410887) / -0.0036144615) - x6)) * 0.0047181253))) + x1"
23,2.561998e-5,"sin(x0 * exp(x6 - (((0.63664645 - x4) - cos(((x3 - 0.7410887) / -0.0036144615) - sin(x6))) * 0.0047181253))) + x1"
25,2.5588408e-5,"x1 + sin(exp(x6 - ((((0.7532819 - x0) * x3) - cos(sin(x6) - ((x3 - 0.9909225) / -0.0036149193))) * 0.0044007064)) * x0)"
26,2.5448075e-5,"x1 + sin(exp(x6 - ((cos(x3 * cos(x6 / -0.016015226)) - cos(x6 - ((x3 - 0.19604369) / -0.0036144492))) * 0.00440364)) * x0)"
27,2.5441715e-5,"x1 + sin(x0 * exp(x6 - (((cos(cos(x6 / -0.016035344)) - x4) - cos(sin(x6) - ((x3 - 0.7410887) / -0.0036144615))) * 0.0047181253)))"
28,2.5356392e-5,"x1 + sin(exp(x6 - (((x3 * (cos(cos(x6 / -0.016015226)) - x0)) - cos(x6 - ((x3 - 0.19604369) / -0.0036144492))) * 0.00440364)) * x0)"
29,2.5324669e-5,"x1 + sin(exp(x6 - (((x3 * (cos(cos(x6 / -0.016015226)) - x0)) - cos(sin(x6) - ((x3 - 0.19604369) / -0.0036144492))) * 0.00440364)) * x0)"
