Complexity,Loss,Equation
1,0.21145567,"x0"
3,0.079909876,"x5 / 0.52384585"
4,0.079395965,"sin(x5) + x5"
5,0.0035840597,"(x5 + 1.9356288) * x5"
6,0.000107239466,"x1 + sin(x0 + x4)"
7,0.00010723945,"x1 + sin(log(x3) + x4)"
8,0.000106474814,"sin(x4 + x0) + (x1 / 1.0016736)"
9,0.00010642365,"sin(x0 + x4) + sin(x0 / 1.0021646)"
11,0.000106389634,"sin((x0 + -0.000225789) + x4) + sin(x0 * 0.9976949)"
12,0.00010459406,"sin(x0 + x4) + ((-5.6145615e-5 / (x6 + 0.3633438)) + x1)"
13,0.000104578,"(-5.711799e-5 / (x6 + 0.36309296)) + (sin(x0) + sin(x4 + x0))"
14,0.00010390283,"sin((x0 + (-5.741562e-5 / (x6 + 0.36268812))) + x4) + (x1 / 1.0014913)"
15,0.0001038342,"(-5.711799e-5 / (x6 + 0.36309296)) + (sin(x0 / 1.001961) + sin(x4 + x0))"
17,0.000103796,"sin(x0) + (((-6.031267e-5 / (x6 + 1.4372251)) / (x6 + 0.36247075)) + sin(x4 + x0))"
18,0.00010367281,"(sin(x0) + sin(x4 + x0)) + ((-5.22513e-5 / cos(x6 / -0.9142659)) / (x6 + 0.36271423))"
19,0.00010307933,"sin(x0 / 1.0017971) + sin(((-6.031267e-5 / (x6 + 1.4372251)) / (x6 + 0.36247075)) + (x4 + x0))"
20,0.000102991726,"(sin(x0 + x4) + ((-5.22513e-5 / cos(x6 / -0.9142659)) / (x6 + 0.36271423))) + sin(x0 / 1.0017971)"
21,0.00010299017,"(((-5.22513e-5 / cos(x6 / -0.9142659)) / sin(x6 + 0.36271423)) + sin(x0 / 1.0017971)) + sin(x0 + x4)"
22,0.00010281503,"sin(x4 + x0) + sin((((-5.22513e-5 / cos((x3 + x5) / -0.9142659)) / (x6 + 0.36271423)) + x0) / 1.0017971)"
23,0.00010273466,"(sin(x4 + x0) + ((-5.22513e-5 / cos((x3 + x5) / (cos(x4) / x5))) / (0.36271423 + x6))) + sin(x0)"
24,0.00010271625,"sin(x0 / 1.0017972) + sin((((-4.4171626e-5 / (cos(x3) - (x0 * (x6 + 0.8180106)))) / (x6 + 0.3624866)) + x4) + x0)"
25,0.00010188731,"sin(x4 + x0) + (((-5.22513e-5 / cos((x3 + x5) / (cos(x4) / x5))) / (0.36271423 + x6)) + sin(x0 / 1.0017971))"
