Complexity,Loss,Equation
1,0.21115156,"x0"
3,0.080260895,"x5 * 1.9072353"
4,0.07978148,"x5 + sin(x5)"
5,0.0039185407,"(x5 + 1.9338603) * x5"
6,0.00042895804,"sin(x4 + x0) + x1"
7,0.000428958,"sin(x0 + x4) + sin(x0)"
8,0.0004269514,"sin((x0 + 0.99682856) * x0) + x1"
9,0.00042695133,"sin((log(x3) + 0.99682856) * x0) + x1"
10,0.0004258945,"sin((x0 + 0.99973714) * x0) + (x1 * 0.9968361)"
12,0.0004251195,"x1 + sin(x0 * (exp(0.0035088107 * log(x4)) + x0))"
13,0.0004236869,"x1 + sin((x0 + 0.9944966) * ((x0 * x5) / sin(x1)))"
15,0.0004209106,"sin((x0 + exp(0.037070297 / ((x7 + -0.9520741) / 0.033689294))) * x0) + x1"
21,0.00041759765,"x1 + sin(((x0 + 0.9964331) * exp(x3 * (sin(42.71945 / exp(0.00575829 - x3)) * 0.005459711))) * x0)"
22,0.00041730338,"x1 + sin((x0 + 0.9964331) * (exp((x3 * sin(0.00575829)) * sin(42.71945 / exp(0.00575829 - x3))) * x0))"
24,0.0004169306,"x1 + sin(((x0 + 0.9968754) * x0) * exp(((x3 / 0.9970149) * sin(42.71944 / exp(0.0058757043 - x3))) * sin(0.0064116446)))"
25,0.00041279392,"sin(x0 * (exp(x3 * (exp(x7) * sin(sin(42.719448 / exp(0.0054405737 - x3)) * 0.0052126674))) * (x0 + 0.9970213))) + x1"
27,0.00041222028,"sin(x0 * ((x0 + 0.9963477) * exp((sin(42.719456 / exp(0.00540933 - x3)) * exp(x7 * x3)) * (cos(x0) * 0.0059350026)))) + x1"
28,0.0004122202,"sin((exp((sin(sin(42.719456 / exp(0.005409331 - x3)) * 0.005935021) * exp(x3 * x7)) * cos(x0)) * (x0 + 0.9963477)) * x0) + x1"
